Date,Ticker,Attribute,Value
2020-01-02,AAPL,Adj Close,72.87610626220703
2020-01-03,AAPL,Adj Close,72.1676254272461
2020-01-06,AAPL,Adj Close,72.74266052246094
2020-01-07,AAPL,Adj Close,72.40054321289062
2020-01-08,AAPL,Adj Close,73.56521606445312
2020-01-09,AAPL,Adj Close,75.12776184082031
2020-01-10,AAPL,Adj Close,75.29762268066406
2020-01-13,AAPL,Adj Close,76.90630340576172
2020-01-14,AAPL,Adj Close,75.86782836914062
2020-01-15,AAPL,Adj Close,75.54268646240234
2020-01-16,AAPL,Adj Close,76.48898315429688
2020-01-17,AAPL,Adj Close,77.33577728271484
2020-01-21,AAPL,Adj Close,76.81169128417969
2020-01-22,AAPL,Adj Close,77.08586883544922
2020-01-23,AAPL,Adj Close,77.45709991455078
2020-01-24,AAPL,Adj Close,77.23388671875
2020-01-27,AAPL,Adj Close,74.96278381347656
2020-01-28,AAPL,Adj Close,77.08342742919922
2020-01-29,AAPL,Adj Close,78.69697570800781
2020-01-30,AAPL,Adj Close,78.58294677734375
2020-01-31,AAPL,Adj Close,75.09866333007812
2020-02-03,AAPL,Adj Close,74.8924331665039
2020-02-04,AAPL,Adj Close,77.3648910522461
2020-02-05,AAPL,Adj Close,77.99576568603516
2020-02-06,AAPL,Adj Close,78.90807342529297
2020-02-07,AAPL,Adj Close,77.83551025390625
2020-02-10,AAPL,Adj Close,78.20518493652344
2020-02-11,AAPL,Adj Close,77.73335266113281
2020-02-12,AAPL,Adj Close,79.57936096191406
2020-02-13,AAPL,Adj Close,79.01265716552734
2020-02-14,AAPL,Adj Close,79.0321044921875
2020-02-18,AAPL,Adj Close,77.58499145507812
2020-02-19,AAPL,Adj Close,78.70862579345703
2020-02-20,AAPL,Adj Close,77.9011459350586
2020-02-21,AAPL,Adj Close,76.13786315917969
2020-02-24,AAPL,Adj Close,72.52130126953125
2020-02-25,AAPL,Adj Close,70.06485748291016
2020-02-26,AAPL,Adj Close,71.17632293701172
2020-02-27,AAPL,Adj Close,66.52365112304688
2020-02-28,AAPL,Adj Close,66.4847412109375
2020-03-02,AAPL,Adj Close,72.67451477050781
2020-03-03,AAPL,Adj Close,70.36642456054688
2020-03-04,AAPL,Adj Close,73.63033294677734
2020-03-05,AAPL,Adj Close,71.24201965332031
2020-03-06,AAPL,Adj Close,70.2958755493164
2020-03-09,AAPL,Adj Close,64.73602294921875
2020-03-10,AAPL,Adj Close,69.3984375
2020-03-11,AAPL,Adj Close,66.98818969726562
2020-03-12,AAPL,Adj Close,60.37279510498047
2020-03-13,AAPL,Adj Close,67.60596466064453
2020-03-16,AAPL,Adj Close,58.908660888671875
2020-03-17,AAPL,Adj Close,61.49887466430664
2020-03-18,AAPL,Adj Close,59.993385314941406
2020-03-19,AAPL,Adj Close,59.533721923828125
2020-03-20,AAPL,Adj Close,55.754180908203125
2020-03-23,AAPL,Adj Close,54.569725036621094
2020-03-24,AAPL,Adj Close,60.044464111328125
2020-03-25,AAPL,Adj Close,59.71369552612305
2020-03-26,AAPL,Adj Close,62.85600280761719
2020-03-27,AAPL,Adj Close,60.25362777709961
2020-03-30,AAPL,Adj Close,61.973140716552734
2020-03-31,AAPL,Adj Close,61.8466682434082
2020-04-01,AAPL,Adj Close,58.59247970581055
2020-04-02,AAPL,Adj Close,59.5701904296875
2020-04-03,AAPL,Adj Close,58.714088439941406
2020-04-06,AAPL,Adj Close,63.836158752441406
2020-04-07,AAPL,Adj Close,63.09677505493164
2020-04-08,AAPL,Adj Close,64.71173095703125
2020-04-09,AAPL,Adj Close,65.1786880493164
2020-04-13,AAPL,Adj Close,66.45799255371094
2020-04-14,AAPL,Adj Close,69.81433868408203
2020-04-15,AAPL,Adj Close,69.1771011352539
2020-04-16,AAPL,Adj Close,69.72677612304688
2020-04-17,AAPL,Adj Close,68.78067779541016
2020-04-20,AAPL,Adj Close,67.35301971435547
2020-04-21,AAPL,Adj Close,65.27111053466797
2020-04-22,AAPL,Adj Close,67.15113830566406
2020-04-23,AAPL,Adj Close,66.89092254638672
2020-04-24,AAPL,Adj Close,68.822021484375
2020-04-27,AAPL,Adj Close,68.87065887451172
2020-04-28,AAPL,Adj Close,67.75431060791016
2020-04-29,AAPL,Adj Close,69.97972106933594
2020-04-30,AAPL,Adj Close,71.45600891113281
2020-05-01,AAPL,Adj Close,70.30562591552734
2020-05-04,AAPL,Adj Close,71.30034637451172
2020-05-05,AAPL,Adj Close,72.37049865722656
2020-05-06,AAPL,Adj Close,73.1171646118164
2020-05-07,AAPL,Adj Close,73.87356567382812
2020-05-08,AAPL,Adj Close,75.63186645507812
2020-05-11,AAPL,Adj Close,76.82198333740234
2020-05-12,AAPL,Adj Close,75.94403076171875
2020-05-13,AAPL,Adj Close,75.02706909179688
2020-05-14,AAPL,Adj Close,75.48799133300781
2020-05-15,AAPL,Adj Close,75.04170989990234
2020-05-18,AAPL,Adj Close,76.80976104736328
2020-05-19,AAPL,Adj Close,76.36592102050781
2020-05-20,AAPL,Adj Close,77.85110473632812
2020-05-21,AAPL,Adj Close,77.27068328857422
2020-05-22,AAPL,Adj Close,77.7681655883789
2020-05-26,AAPL,Adj Close,77.2414321899414
2020-05-27,AAPL,Adj Close,77.57795715332031
2020-05-28,AAPL,Adj Close,77.61211395263672
2020-05-29,AAPL,Adj Close,77.53652954101562
2020-06-01,AAPL,Adj Close,78.49004364013672
2020-06-02,AAPL,Adj Close,78.8534164428711
2020-06-03,AAPL,Adj Close,79.2874984741211
2020-06-04,AAPL,Adj Close,78.60467529296875
2020-06-05,AAPL,Adj Close,80.8434066772461
2020-06-08,AAPL,Adj Close,81.3213882446289
2020-06-09,AAPL,Adj Close,83.88937377929688
2020-06-10,AAPL,Adj Close,86.0476303100586
2020-06-11,AAPL,Adj Close,81.91643524169922
2020-06-12,AAPL,Adj Close,82.6236572265625
2020-06-15,AAPL,Adj Close,83.64550018310547
2020-06-16,AAPL,Adj Close,85.86228942871094
2020-06-17,AAPL,Adj Close,85.74278259277344
2020-06-18,AAPL,Adj Close,85.77692413330078
2020-06-19,AAPL,Adj Close,85.28673553466797
2020-06-22,AAPL,Adj Close,87.51817321777344
2020-06-23,AAPL,Adj Close,89.38621520996094
2020-06-24,AAPL,Adj Close,87.80838012695312
2020-06-25,AAPL,Adj Close,88.97408294677734
2020-06-26,AAPL,Adj Close,86.24027252197266
2020-06-29,AAPL,Adj Close,88.22782897949219
2020-06-30,AAPL,Adj Close,88.9643325805664
2020-07-01,AAPL,Adj Close,88.7960433959961
2020-07-02,AAPL,Adj Close,88.7960433959961
2020-07-06,AAPL,Adj Close,91.1713638305664
2020-07-07,AAPL,Adj Close,90.88846588134766
2020-07-08,AAPL,Adj Close,93.0052719116211
2020-07-09,AAPL,Adj Close,93.40522766113281
2020-07-10,AAPL,Adj Close,93.5686264038086
2020-07-13,AAPL,Adj Close,93.13697814941406
2020-07-14,AAPL,Adj Close,94.6782455444336
2020-07-15,AAPL,Adj Close,95.32936096191406
2020-07-16,AAPL,Adj Close,94.15635681152344
2020-07-17,AAPL,Adj Close,93.96611022949219
2020-07-20,AAPL,Adj Close,95.94635772705078
2020-07-21,AAPL,Adj Close,94.62212371826172
2020-07-22,AAPL,Adj Close,94.88797760009766
2020-07-23,AAPL,Adj Close,90.56900787353516
2020-07-24,AAPL,Adj Close,90.3446273803711
2020-07-27,AAPL,Adj Close,92.4858169555664
2020-07-28,AAPL,Adj Close,90.96651458740234
2020-07-29,AAPL,Adj Close,92.71019744873047
2020-07-30,AAPL,Adj Close,93.83200073242188
2020-07-31,AAPL,Adj Close,103.65513610839844
2020-08-03,AAPL,Adj Close,106.26701354980469
2020-08-04,AAPL,Adj Close,106.9766845703125
2020-08-05,AAPL,Adj Close,107.36443328857422
2020-08-06,AAPL,Adj Close,111.11029815673828
2020-08-07,AAPL,Adj Close,108.5841293334961
2020-08-10,AAPL,Adj Close,110.1623764038086
2020-08-11,AAPL,Adj Close,106.88615417480469
2020-08-12,AAPL,Adj Close,110.43844604492188
2020-08-13,AAPL,Adj Close,112.3929214477539
2020-08-14,AAPL,Adj Close,112.29277038574219
2020-08-17,AAPL,Adj Close,111.99958801269531
2020-08-18,AAPL,Adj Close,112.93284606933594
2020-08-19,AAPL,Adj Close,113.0745620727539
2020-08-20,AAPL,Adj Close,115.58362579345703
2020-08-21,AAPL,Adj Close,121.53994750976562
2020-08-24,AAPL,Adj Close,122.99359893798828
2020-08-25,AAPL,Adj Close,121.98458862304688
2020-08-26,AAPL,Adj Close,123.64347076416016
2020-08-27,AAPL,Adj Close,122.16536712646484
2020-08-28,AAPL,Adj Close,121.96749114990234
2020-08-31,AAPL,Adj Close,126.10366821289062
2020-09-01,AAPL,Adj Close,131.126708984375
2020-09-02,AAPL,Adj Close,128.40997314453125
